campaign_id,campaing_name,channel_id,objective,start_date,end_date,status
1,synergize 24/7 info-mediaries,1,Website Traffic,2024-01-01,2024-12-31,Active
2,engineer web-enabled web services,1,Lead Generation,2024-01-01,2024-12-31,Active
3,transition next-generation networks,1,Website Traffic,2024-01-01,2024-12-31,Active
4,re-contextualize world-class info-mediaries,1,Website Traffic,2024-01-01,2024-12-31,Active
5,revolutionize web-enabled partnerships,2,Lead Generation,2024-01-01,2024-12-31,Active
6,engage revolutionary supply-chains,2,Brand Awareness,2024-01-01,2024-12-31,Active
7,integrate innovative markets,2,Lead Generation,2024-01-01,2024-12-31,Active
8,exploit turn-key paradigms,3,Brand Awareness,2024-01-01,2024-12-31,Active
9,redefine sticky platforms,3,Brand Awareness,2024-01-01,2024-12-31,Active
10,incubate world-class infrastructures,3,Brand Awareness,2024-01-01,2024-12-31,Active
11,facilitate back-end schemas,4,SEO Traffic,2024-01-01,2024-12-31,Active
